,Alpha-3 code_x,Year,All,Gold,Silver,Bronze,English short name lower case,Alpha-2 code,latitude,longitude,population
0,AUS,1994,1,0.0,0.0,1.0,Australia,AU,-25.274398,133.775136,17855000.0
1,AUS,1998,1,0.0,0.0,1.0,Australia,AU,-25.274398,133.775136,18711000.0
2,AUS,2002,2,2.0,0.0,0.0,Australia,AU,-25.274398,133.775136,19651400.0
3,AUS,2006,2,1.0,0.0,1.0,Australia,AU,-25.274398,133.775136,20697900.0
4,AUT,1924,3,2.0,1.0,0.0,Austria,AT,47.516231,14.550072,
5,AUT,1928,4,0.0,3.0,1.0,Austria,AT,47.516231,14.550072,
6,AUT,1932,2,1.0,1.0,0.0,Austria,AT,47.516231,14.550072,
7,AUT,1936,4,1.0,1.0,2.0,Austria,AT,47.516231,14.550072,
8,AUT,1948,8,1.0,3.0,4.0,Austria,AT,47.516231,14.550072,
9,AUT,1952,8,2.0,4.0,2.0,Austria,AT,47.516231,14.550072,
10,AUT,1956,11,4.0,3.0,4.0,Austria,AT,47.516231,14.550072,
11,AUT,1960,6,1.0,2.0,3.0,Austria,AT,47.516231,14.550072,7047539.0
12,AUT,1964,12,4.0,5.0,3.0,Austria,AT,47.516231,14.550072,7223801.0
13,AUT,1968,11,3.0,4.0,4.0,Austria,AT,47.516231,14.550072,7415403.0
14,AUT,1972,5,1.0,2.0,2.0,Austria,AT,47.516231,14.550072,7544201.0
15,AUT,1976,6,2.0,2.0,2.0,Austria,AT,47.516231,14.550072,7565525.0
16,AUT,1980,7,3.0,2.0,2.0,Austria,AT,47.516231,14.550072,7549433.0
17,AUT,1984,1,0.0,0.0,1.0,Austria,AT,47.516231,14.550072,7561434.0
18,AUT,1988,10,3.0,5.0,2.0,Austria,AT,47.516231,14.550072,7585317.0
19,AUT,1992,21,6.0,7.0,8.0,Austria,AT,47.516231,14.550072,7840709.0
20,AUT,1994,9,2.0,3.0,4.0,Austria,AT,47.516231,14.550072,7936118.0
21,AUT,1998,17,3.0,5.0,9.0,Austria,AT,47.516231,14.550072,7976789.0
22,AUT,2002,17,3.0,4.0,10.0,Austria,AT,47.516231,14.550072,8081957.0
23,AUT,2006,23,9.0,7.0,7.0,Austria,AT,47.516231,14.550072,8268641.0
24,BEL,1924,1,0.0,0.0,1.0,Belgium,BE,50.503887,4.469936,
25,BEL,1928,1,0.0,0.0,1.0,Belgium,BE,50.503887,4.469936,
26,BEL,1948,2,1.0,1.0,0.0,Belgium,BE,50.503887,4.469936,
27,BEL,1998,1,0.0,0.0,1.0,Belgium,BE,50.503887,4.469936,10203008.0
28,BLR,1994,2,0.0,2.0,0.0,Belarus,BY,53.709807,27.953389,10227000.0
29,BLR,1998,2,0.0,0.0,2.0,Belarus,BY,53.709807,27.953389,10069000.0
30,BLR,2002,1,0.0,0.0,1.0,Belarus,BY,53.709807,27.953389,9865548.0
31,BLR,2006,1,0.0,1.0,0.0,Belarus,BY,53.709807,27.953389,9604924.0
32,BUL,1980,1,0.0,0.0,1.0,,,,,
33,BUL,1998,1,1.0,0.0,0.0,,,,,
34,BUL,2002,3,0.0,1.0,2.0,,,,,
35,BUL,2006,1,0.0,1.0,0.0,,,,,
36,CAN,1924,1,1.0,0.0,0.0,Canada,CA,56.130366,-106.346771,
37,CAN,1928,1,1.0,0.0,0.0,Canada,CA,56.130366,-106.346771,
38,CAN,1932,7,1.0,1.0,5.0,Canada,CA,56.130366,-106.346771,
39,CAN,1936,1,0.0,1.0,0.0,Canada,CA,56.130366,-106.346771,
40,CAN,1948,3,2.0,0.0,1.0,Canada,CA,56.130366,-106.346771,
41,CAN,1952,2,1.0,0.0,1.0,Canada,CA,56.130366,-106.346771,
42,CAN,1956,3,0.0,1.0,2.0,Canada,CA,56.130366,-106.346771,
43,CAN,1960,4,2.0,1.0,1.0,Canada,CA,56.130366,-106.346771,17909009.0
44,CAN,1964,3,1.0,0.0,2.0,Canada,CA,56.130366,-106.346771,19325000.0
45,CAN,1968,3,1.0,1.0,1.0,Canada,CA,56.130366,-106.346771,20744000.0
46,CAN,1972,1,0.0,1.0,0.0,Canada,CA,56.130366,-106.346771,22218463.0
47,CAN,1976,3,1.0,1.0,1.0,Canada,CA,56.130366,-106.346771,23449808.0
48,CAN,1980,2,0.0,1.0,1.0,Canada,CA,56.130366,-106.346771,24515667.0
49,CAN,1984,4,2.0,1.0,1.0,Canada,CA,56.130366,-106.346771,25607053.0
50,CAN,1988,5,0.0,2.0,3.0,Canada,CA,56.130366,-106.346771,26791747.0
51,CAN,1992,7,2.0,3.0,2.0,Canada,CA,56.130366,-106.346771,28371264.0
52,CAN,1994,13,3.0,6.0,4.0,Canada,CA,56.130366,-106.346771,29000663.0
53,CAN,1998,15,6.0,5.0,4.0,Canada,CA,56.130366,-106.346771,30155173.0
54,CAN,2002,17,7.0,3.0,7.0,Canada,CA,56.130366,-106.346771,31360079.0
55,CAN,2006,24,7.0,10.0,7.0,Canada,CA,56.130366,-106.346771,32571174.0
56,CHN,1992,3,0.0,3.0,0.0,China,CN,35.86166,104.195397,1164970000.0
57,CHN,1994,3,0.0,1.0,2.0,China,CN,35.86166,104.195397,1191835000.0
58,CHN,1998,8,0.0,6.0,2.0,China,CN,35.86166,104.195397,1241935000.0
59,CHN,2002,8,2.0,2.0,4.0,China,CN,35.86166,104.195397,1280400000.0
60,CHN,2006,11,2.0,4.0,5.0,China,CN,35.86166,104.195397,1311020000.0
61,CRO,2002,4,3.0,1.0,0.0,,,,,
62,CRO,2006,3,1.0,2.0,0.0,,,,,
63,CZE,1998,3,1.0,1.0,1.0,Czech Republic,CZ,49.817492,15.472962,10294373.0
64,CZE,2002,3,1.0,2.0,0.0,Czech Republic,CZ,49.817492,15.472962,10196916.0
65,CZE,2006,4,1.0,2.0,1.0,Czech Republic,CZ,49.817492,15.472962,10238905.0
66,DEN,1998,1,0.0,1.0,0.0,,,,,
67,ESP,1972,1,1.0,0.0,0.0,Spain,ES,40.463667,-3.74922,34604469.0
68,ESP,1992,1,0.0,0.0,1.0,Spain,ES,40.463667,-3.74922,39157685.0
69,EST,2002,3,1.0,1.0,1.0,Estonia,EE,58.595272,25.013607,1379350.0
