,Alpha-3 code,Year,All,Gold,Silver,Bronze,English short name lower case,Alpha-2 code
0,AUS,1994,1,,,1.0,Australia,AU
1,AUS,1998,1,,,1.0,Australia,AU
2,AUS,2002,2,2.0,,,Australia,AU
3,AUS,2006,2,1.0,,1.0,Australia,AU
4,AUT,1924,3,2.0,1.0,,Austria,AT
5,AUT,1928,4,,3.0,1.0,Austria,AT
6,AUT,1932,2,1.0,1.0,,Austria,AT
7,AUT,1936,4,1.0,1.0,2.0,Austria,AT
8,AUT,1948,8,1.0,3.0,4.0,Austria,AT
9,AUT,1952,8,2.0,4.0,2.0,Austria,AT
10,AUT,1956,11,4.0,3.0,4.0,Austria,AT
11,AUT,1960,6,1.0,2.0,3.0,Austria,AT
12,AUT,1964,12,4.0,5.0,3.0,Austria,AT
13,AUT,1968,11,3.0,4.0,4.0,Austria,AT
14,AUT,1972,5,1.0,2.0,2.0,Austria,AT
15,AUT,1976,6,2.0,2.0,2.0,Austria,AT
16,AUT,1980,7,3.0,2.0,2.0,Austria,AT
17,AUT,1984,1,,,1.0,Austria,AT
18,AUT,1988,10,3.0,5.0,2.0,Austria,AT
19,AUT,1992,21,6.0,7.0,8.0,Austria,AT
20,AUT,1994,9,2.0,3.0,4.0,Austria,AT
21,AUT,1998,17,3.0,5.0,9.0,Austria,AT
22,AUT,2002,17,3.0,4.0,10.0,Austria,AT
23,AUT,2006,23,9.0,7.0,7.0,Austria,AT
24,BEL,1924,1,,,1.0,Belgium,BE
25,BEL,1928,1,,,1.0,Belgium,BE
26,BEL,1948,2,1.0,1.0,,Belgium,BE
27,BEL,1998,1,,,1.0,Belgium,BE
28,BLR,1994,2,,2.0,,Belarus,BY
29,BLR,1998,2,,,2.0,Belarus,BY
30,BLR,2002,1,,,1.0,Belarus,BY
31,BLR,2006,1,,1.0,,Belarus,BY
32,BUL,1980,1,,,1.0,,
33,BUL,1998,1,1.0,,,,
34,BUL,2002,3,,1.0,2.0,,
35,BUL,2006,1,,1.0,,,
36,CAN,1924,1,1.0,,,Canada,CA
37,CAN,1928,1,1.0,,,Canada,CA
38,CAN,1932,7,1.0,1.0,5.0,Canada,CA
